DTH,SVL,ME,AE
2.285714286,3.928333333,0,0
2.833333333,3.4375,0,0
2.571428571,3.645,0,0
2.714285714,3.732,0,0.1
2.375,3.56375,0,0.1
2.375,3.6625,0,0.1
2.285714286,3.414285714,0,1
2.125,3.6025,0,1
2.625,3.71,0,1
2.875,3.758333333,0,10
2.875,3.652,0,10
2.857142857,3.444,0,10
2.75,3.914285714,0,100
2.125,3.7925,0,100
2.375,3.697142857,0,100
3.125,3.89,0.1,0
3.285714286,4.053333333,0.1,0
2.875,4.154285714,0.1,0
3.125,4.188,0.1,0.1
3.125,4.244,0.1,0.1
2.875,4.268,0.1,0.1
2.5,4.1,0.1,1
3,4.444,0.1,1
2.428571429,4.22,0.1,1
3,4.093333333,0.1,10
2.875,4.33,0.1,10
2.5,4.44,0.1,10
2.75,4.3125,0.1,100
2.25,4.09375,0.1,100
2.875,4.215714286,0.1,100
2.833333333,3.761666667,1,0
2.714285714,4.043333333,1,0
3.142857143,4.02,1,0
3.2,4.0175,1,0.1
2.833333333,3.538333333,1,0.1
2.166666667,4.06,1,0.1
2.428571429,3.877142857,1,1
3,4.003333333,1,1
2.8,3.89,1,1
2.375,4.13875,1,10
3,3.618333333,1,10
2.625,3.511666667,1,10
2.625,3.8975,1,100
2.75,3.805,1,100
2.833333333,3.835,1,100
3,3.84,10,0
2.142857143,4.068571429,10,0
2.5,4.2425,10,0
3.166666667,3.9725,10,0.1
3.428571429,4.2375,10,0.1
3,3.905,10,0.1
2.75,4.095714286,10,1
2.333333333,3.913333333,10,1
2.75,3.93625,10,1
2.833333333,4.152,10,10
3.333333333,3.93,10,10
2.714285714,4.064285714,10,10
2.833333333,4.002,10,100
2.375,4.29,10,100
2.5,4.167142857,10,100
3.375,3.926,100,0
3.125,3.626666667,100,0
3.125,3.726666667,100,0
2.571428571,3.843333333,100,0.1
3.125,4.062,100,0.1
2.875,3.808333333,100,0.1
2.75,3.86125,100,1
2.375,3.82125,100,1
3.25,3.62,100,1
3.25,3.68,100,10
2.166666667,3.92,100,10
3.142857143,3.808,100,10
2.75,3.7,100,100
2.5,3.922,100,100
2.375,3.763333333,100,100
